Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Organization),Founded Date,Founded Date Precision,Website,Contact Email,Number of Articles,Number of Employees,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Type,IPO Date,IPO Status,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,IPqwery - Patents Granted
Mimecast,https://www.crunchbase.com/organization/mimecast,"Accounting, Archiving Service, Email, Information Technology, Legal, SaaS, Security","London, England, United Kingdom",Mimecast is a SaaS-based email management platform enabling companies to administer business communications and data.,"1,293",2003-01-01,year,http://www.mimecast.com,info@mimecast.com,306,1001-5000,2017-10-31,403000,USD,403000,90244477,USD,90244477,Post-IPO Equity,2015-11-19,Public,77500000,USD,77500000,MIME,https://www.crunchbase.com/ipo/mimecast-ipo--3dd8b7bf,
Barracuda Networks,https://www.crunchbase.com/organization/barracuda-networks,"Cloud Data Services, Enterprise Software, Information Technology, Internet, Robotics, Security, Software, Virtualization","Campbell, California, United States","Barracuda is a provider of powerful, easy-to-use, affordable IT solutions for security and storage.","2,430",2003-01-01,year,http://www.barracuda.com,info@barracuda.com,460,501-1000,2017-05-18,750000,USD,750000,46360000,USD,46360000,Grant,2013-11-15,Delisted,74520000,USD,74520000,CUDA,https://www.crunchbase.com/ipo/barracuda-networks-ipo--cd8d3d04,67
Rsam,https://www.crunchbase.com/organization/rsam,"Compliance, Cyber Security, Risk Management, Security, Software","Secaucus, New Jersey, United States",Rsam is a leader in Enterprise GRC software helping organizations,"5,369",2003-01-01,year,http://www.rsam.com,sales@rsam.com,8,101-250,2015-03-24,32000000,USD,32000000,32000000,USD,32000000,Venture - Series Unknown,,Private,,,,,,
Verafin,https://www.crunchbase.com/organization/verafin,"Artificial Intelligence, Compliance, Enterprise Software, Finance, Fraud Detection, Information Technology, Security, Software","St. John's, Newfoundland, Canada","Verafin provides compliance, anti-money laundering, and fraud detection software.","6,130",2003-01-01,year,http://www.verafin.com,info@verafin.com,3,101-250,2014-05-15,60000000,USD,60000000,65500000,USD,65500000,Private Equity,,Private,,,,,,1
iControl Networks,https://www.crunchbase.com/organization/icontrol,"SaaS, Security, Software","Redwood City, California, United States",iControl Networks offers connected home solutions to households worldwide.,"7,455",2003-01-01,year,http://www.icontrol.com,info@icontrol.com,10,51-100,2011-06-20,50000000,USD,50000000,93500000,USD,93500000,Series D,,Private,,,,,,
AirWatch,https://www.crunchbase.com/organization/airwatch,"Computer, Enterprise, Mobile, Mobile Devices, Security","Atlanta, Georgia, United States","AirWatch engages in enterprise-grade mobile device, application, and content management designed to simplify mobility.","7,776",2003-01-01,year,http://www.air-watch.com,sales@air-watch.com,532,1001-5000,2013-05-16,25000000,USD,25000000,225000000,USD,225000000,Series A,,Private,,,,,,225
Xunlei,https://www.crunchbase.com/organization/kankan,"Blockchain, Cloud Computing, Information Technology, Software","Shenzhen, Guangdong, China",Xunlei Limited is a global innovator in shared computing and blockchain technology.,"11,595",2003-01-01,year,http://www.xunlei.com/,bd@xunlei.com,26,,2014-04-06,310000000,USD,310000000,420400000,USD,420400000,Venture - Series Unknown,2014-07-03,Public,87700000,USD,87700000,XNET,https://www.crunchbase.com/ipo/kankan-ipo--77a6b651,
Group-IB,https://www.crunchbase.com/organization/group-ib,"Cyber Security, Fraud Detection, Information Technology, Network Security","Singapore, Central Region, Singapore","Group-IB is a provider of solutions aimed at detection and prevention of cyber attacks and online fraud, and IP protection.","13,708",2003-10-01,month,http://www.group-ib.com/,info@group-ib.com,122,251-500,2016-08-01,938000,USD,938000,938000,USD,938000,Series A,,Private,,,,,,
mPrest,https://www.crunchbase.com/organization/mprest,"Information Technology, Medical, Security, Software, Telecommunications","Petah Tiqva, HaMerkaz, Israel",mPrest Systems is a software company specialized in developing high performance critical systems.,"14,622",2003-01-01,year,http://www.mprest.com/index.php/en/,info@mprest.com,12,51-100,2017-10-30,10000000,USD,10000000,30000000,USD,30000000,Series B,,Private,,,,,,
Zenprise,https://www.crunchbase.com/organization/zenprise,"Mobile, Mobile Devices, Security","Redwood City, California, United States","Zenprise offers secure mobile device management, protecting all layers of the mobile enterprise to keep organizations secure and compliant.","17,830",2003-01-01,year,http://www.zenprise.com,info@zenprise.com,138,51-100,2012-01-01,130000,USD,130000,70630000,USD,70630000,Series F,,Private,,,,,,
